,Unnamed: 0.1,Unnamed: 0,Event ID,Event Date,Event Type,Event Intensity,Quad Code,Contexts,Actor Name,Actor Country,Actor Title,Actor Name Raw,Recipient Name,Recipient Country,Recipient Title,Recipient Name Raw,Country,Raw Placename,Publication Date,Language,Version
0,0,0,20220103-7002-44B0A250B288_Threaten,2022-01-03,Threaten,-3.5,Verbal Conflict,,Shiromani Akali Dal,India,Political Party,Shiromani Akali Dal,Banwarilal Purohit,India,Governor,Banwarilal Purohit,IND,"['[""[\'PB\']""]']",2022-01-03,English,Ngec_Coder-Vers001-B1-Run-001
1,1,1,20220103-4607-958Df4912178_Accuse,2022-01-03,Accuse,-3.0,Verbal Conflict,,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'UP\']""]']",2022-01-03,English,Ngec_Coder-Vers001-B1-Run-001
2,2,2,20220103-7081-4Acc724Fc09F_Request,2022-01-03,Request,0.0,Verbal Conflict,,Supreme Court,,Court Supreme,Supreme Court,Calcutta High Court,India,High Court,Calcutta High Court,IND,"['[""[\'WB\']""]']",2022-01-03,English,Ngec_Coder-Vers001-B1-Run-001
3,3,3,20220103-0203-15D6B4304172_Request,2022-01-03,Request,0.0,Verbal Conflict,,Supreme Court,,Court Supreme,Supreme Court,Calcutta High Court,India,High Court,Calcutta High Court,IND,"['[""[\'WB\']""]']",2022-01-03,English,Ngec_Coder-Vers001-B1-Run-001
4,4,4,20220103-1956-A30E4Dd4B371_Request,2022-01-03,Request,0.0,Verbal Conflict,,Supreme Court,,Court Supreme,Supreme Court,Calcutta High Court,India,High Court,Calcutta High Court,IND,"['[""[\'WB\']""]']",2022-01-03,English,Ngec_Coder-Vers001-B1-Run-001
5,5,5,20220103-8012-D3426B08E5B5_Concede,2022-01-03,Concede,4.5,Verbal Cooperation,Election,Aam Aadmi Party,India,Political Party,Aam Aadmi Party,Congee,,Diet,Congress,IND,"['[""[\'PB\']""]']",2022-01-03,English,Ngec_Coder-Vers001-B1-Run-001
6,6,6,20220103-7949-7A9173205E67_Accuse,2022-01-03,Accuse,-3.0,Verbal Conflict,,Manish Sisodia,India,Deputy Prime Minister,Manish Sisodia,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'DL\']""]']",2022-01-03,English,Ngec_Coder-Vers001-B1-Run-001
7,7,7,20220104-2607-1B983978E41F_Assault,2022-01-04,Assault,-9.0,Material Conflict,Health,Bharatiya Janata Party,India,Political Party,Senior Bjp Leaders,Akhilesh Yadav,India,Party President,Akhilesh Yadav,IND,"['[""[\'UP\']""]']",2022-01-04,English,Ngec_Coder-Vers001-B1-Run-001
8,8,8,20220104-1300-9C72D80B57B5_Assault,2022-01-04,Assault,-9.0,Material Conflict,Health,Bharatiya Janata Party,India,Political Party,Senior Bjp Leaders,Akhilesh Yadav,India,Party President,Akhilesh Yadav,IND,"['[""[\'UP\']""]']",2022-01-04,English,Ngec_Coder-Vers001-B1-Run-001
9,9,9,20220105-7284-65B3Eba369C4_Sanction_Convict,2022-01-05,Sanction,-6.0,Material Conflict,Election,Punjab,Pakistan,Region,Punjab Police,Bikram Singh Majithia,India,Barrister,Bikram Singh Majithia,IND,"['[""[\'PB\', \'HR\']""]']",2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
10,10,10,20220105-6209-6Df2B8B18259_Sanction,2022-01-05,Sanction,-6.0,Material Conflict,Election,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'MH\', \'GJ\', \'MP\']""]']",2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
11,11,11,20220105-7165-16E9Ef36397E_Accuse,2022-01-05,Accuse,-3.0,Verbal Conflict,,Bharatiya Janata Party,India,Political Party,Bjp,Congee,,Diet,Congress Government,IND,"['[""[\'PB\']""]']",2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
