Event ID,Event Date,Event Type,Event Intensity,Quad Code,Contexts,Actor Name,Actor Country,Actor Title,Actor Name Raw,Recipient Name,Recipient Country,Recipient Title,Recipient Name Raw,Country,Raw Placename,Publication Date,Language,Version
20220207-1091-Ac7Ac9379Eb4_Aid,2022-02-07,Aid,10.0,Material Cooperation,Diplomatic,Vladimir Putin,Russia,President,Vladimir Putin,Vladimir Putin,Russia,President,Russian President Vladimir Putin,RUS,Russia,2022-02-07,Chinese,Ngec_Coder-Vers001-B1-Run-001
20220218-6240-4Bd47738289C_Request,2022-02-18,Request,0.0,Verbal Conflict,Health,Moscow,Russia,Capital City,Moscow Court,Alexei Navalny,Russia,Leader Of The Opposition,Alexei Navalny,RUS,Moscow,2022-02-18,French,Ngec_Coder-Vers001-B1-Run-001
20220218-7577-8Ed987D80D3A_Aid,2022-02-18,Aid,10.0,Material Cooperation,,Alexander Lukashenko,Belarus,Chief Of State,Alexander Lukashenko,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Moscow,2022-02-18,Russian,Ngec_Coder-Vers001-B1-Run-001
20220218-9676-26Cee6802Ffd_Aid,2022-02-18,Aid,10.0,Material Cooperation,,Alexander Lukashenko,Belarus,Chief Of State,Alexander Lukashenko,Vladimir Putin,Russia,President,Russian President Vladimir Putin,RUS,Moscow,2022-02-18,Russian,Ngec_Coder-Vers001-B1-Run-001
20220218-0338-2858416F21F5_Aid,2022-02-18,Aid,10.0,Material Cooperation,,Alexander Lukashenko,Belarus,Chief Of State,Belarusian President Alexander Lukashenko,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Moscow,2022-02-18,Russian,Ngec_Coder-Vers001-B1-Run-001
20220218-1099-Adbed2A3Fcb2_Request,2022-02-18,Request,0.0,Verbal Conflict,,Vladimir Putin,Russia,President,Vladimir Putin,Vladimir Putin,Russia,President,Russian President Vladimir Putin,RUS,St. Petersburg,2022-02-18,English,Ngec_Coder-Vers001-B1-Run-001
20220310-8571-Ed59A2E72Be8_Retreat,2022-03-10,Retreat,6.5,Material Cooperation,,Alexander Lukashenko,Belarus,Chief Of State,Aleksandr Lukashenko,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Moscow,2022-03-10,English,Ngec_Coder-Vers001-B1-Run-001
20220310-8571-Ed59A2E72Be8_Aid,2022-03-10,Aid,10.0,Material Cooperation,,Alexander Lukashenko,Belarus,Chief Of State,Aleksandr Lukashenko,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Moscow,2022-03-10,English,Ngec_Coder-Vers001-B1-Run-001
20220311-9534-Effee59D1A6A_Request,2022-03-11,Request,0.0,Verbal Conflict,,Vladimir Putin,Russia,President,Vladimir Putin,Alexander Lukashenko,Belarus,Chief Of State,Alexander Lukashenko,RUS,Moscow,2022-03-11,Chinese,Ngec_Coder-Vers001-B1-Run-001
20220311-9046-15E9B2E9Bbfe_Aid,2022-03-11,Aid,10.0,Material Cooperation,,Alexander Lukashenko,Belarus,Chief Of State,Belarusian President Alexander Lukashenko,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Moscow,2022-03-11,English,Ngec_Coder-Vers001-B1-Run-001
